hospital_id,hospital_name,ownership,division,district,upazila,latitude,longitude,facility_type,facility_level,total_beds,vacant_beds,icu_beds,available_icu_beds,accepting_referrals,last_reported_date,last_reported_time,has_emergency,emergency_level,dept_medicine,dept_cardiology,dept_neurology,dept_gastroenterology,dept_pulmonology,dept_nephrology,dept_orthopedics,dept_surgery,dept_ent,dept_obgyn,dept_pediatrics,dept_dermatology,dept_ophthalmology,dept_psychiatry
FR00030,Chattogram Trauma Center,Fully Government-owned,Chattogram,Chattogram,Panchlaish,21.77041,91.51989,Trauma Center,Tertiary,67,6,7,2,1,2026-01-12,22:35,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00031,Khulna District Hospital,Fully Government-owned,Khulna,Khulna,Batiaghata,22.76523,89.28473,District/General Hospital,Secondary,300,14,6,2,1,2026-01-12,22:40,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00032,Bakerganj 20-bed Hospital,Fully Government-owned,Barishal,Barishal,Bakerganj,21.97014,90.45185,20-bed Hospital,Primary,20,0,0,0,0,2026-01-12,22:45,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00033,Chattogram Trauma Center,Fully Government-owned,Chattogram,Chattogram,Sitakunda,21.44652,91.61315,Trauma Center,Tertiary,194,18,23,5,1,2026-01-12,22:50,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00034,Barishal District Hospital,Fully Government-owned,Barishal,Barishal,Babuganj,22.00507,90.58362,District/General Hospital,Secondary,150,40,2,11,1,2026-01-12,22:55,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00035,Barishal Maternal & Child Welfare Centre (MCWC),Fully Government-owned,Barishal,Barishal,Bakerganj,21.93466,90.61469,Maternal & Child Welfare Centre (MCWC),Secondary,29,0,1,0,1,2026-01-12,23:00,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00036,Barishal Maternal & Child Welfare Centre (MCWC),Fully Government-owned,Barishal,Barishal,Barishal Sadar,22.58628,90.50233,Maternal & Child Welfare Centre (MCWC),Secondary,19,4,0,0,1,2026-01-12,23:05,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00037,Jashore Specialized Hospital,Fully Government-owned,Khulna,Jashore,Chaugachha,23.0461,89.08307,Specialized Hospital,Tertiary,228,5,26,0,1,2026-01-12,23:10,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00038,Dinajpur Medical College Hospital,Fully Government-owned,Rangpur,Dinajpur,Dinajpur Sadar,26.21938,89.06196,Medical College Hospital,Tertiary,1000,0,104,0,1,2026-01-12,23:15,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00039,Jamalpur Medical College Hospital,Fully Government-owned,Mymensingh,Jamalpur,Sarishabari,25.27142,91.09432,Medical College Hospital,Tertiary,500,2,28,0,1,2026-01-12,23:20,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00040,Narayanganj Maternal & Child Welfare Centre (MCWC),Fully Government-owned,Dhaka,Narayanganj,Araihazar,23.62091,90.25526,Maternal & Child Welfare Centre (MCWC),Secondary,19,0,0,0,1,2026-01-12,23:25,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00041,Narayanganj Sadar 50-bed Hospital,Fully Government-owned,Dhaka,Narayanganj,Narayanganj Sadar,23.87994,90.6123,50-bed Hospital,Secondary,50,0,1,0,1,2026-01-12,23:30,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00042,Rajshahi Sadar Upazila Health Complex,Fully Government-owned,Rajshahi,Rajshahi,Rajshahi Sadar,24.60485,88.76506,Upazila Health Complex,Primary,50,0,0,0,0,2026-01-12,23:35,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00043,Jashore District Hospital,Fully Government-owned,Khulna,Jashore,Jashore Sadar,23.05859,89.20019,District/General Hospital,Secondary,300,0,8,0,1,2026-01-12,23:40,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00044,Islampur 50-bed Hospital,Fully Government-owned,Mymensingh,Jamalpur,Islampur,24.51244,90.46109,50-bed Hospital,Secondary,50,5,0,0,1,2026-01-12,23:45,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00045,Cox's Bazar Maternal & Child Welfare Centre (MCWC),Fully Government-owned,Chattogram,Cox's Bazar,Teknaf,22.98732,91.73115,Maternal & Child Welfare Centre (MCWC),Secondary,35,4,1,0,1,2026-01-12,23:50,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00046,Savar Upazila Health Complex,Fully Government-owned,Dhaka,Dhaka,Savar,23.73273,90.07588,Upazila Health Complex,Primary,100,6,0,0,0,2026-01-12,23:55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00047,Moulvibazar Maternal & Child Welfare Centre (MCWC),Fully Government-owned,Sylhet,Moulvibazar,Kamalganj,24.96127,91.77831,Maternal & Child Welfare Centre (MCWC),Secondary,17,8,0,2,1,2026-01-13,0:00,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00048,Rangpur Maternal & Child Welfare Centre (MCWC),Fully Government-owned,Rangpur,Rangpur,Mithapukur,25.31196,89.46424,Maternal & Child Welfare Centre (MCWC),Secondary,22,0,0,0,1,2026-01-13,0:05,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00049,Moulvibazar District Hospital,Fully Government-owned,Sylhet,Moulvibazar,Kamalganj,25.03351,91.82833,District/General Hospital,Secondary,250,6,4,1,1,2026-01-13,0:10,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00050,Barishal Sadar 10-bed Hospital,Fully Government-owned,Barishal,Barishal,Barishal Sadar,22.97365,90.43086,10-bed Hospital,Primary,10,7,0,1,0,2026-01-13,0:15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00051,Sonargaon 50-bed Hospital,Fully Government-owned,Dhaka,Narayanganj,Sonargaon,23.90333,90.22557,50-bed Hospital,Secondary,50,22,1,6,1,2026-01-13,0:20,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00052,Sarishabari 50-bed Hospital,Fully Government-owned,Mymensingh,Jamalpur,Sarishabari,25.35582,90.90956,50-bed Hospital,Secondary,50,18,1,5,1,2026-01-13,0:25,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00053,Cox's Bazar Trauma Center,Fully Government-owned,Chattogram,Cox's Bazar,Ukhia,23.204,91.63487,Trauma Center,Tertiary,135,4,8,0,1,2026-01-13,0:30,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00054,Barishal Sadar Upazila Health Complex,Fully Government-owned,Barishal,Barishal,Barishal Sadar,23.07912,90.42789,Upazila Health Complex,Primary,31,16,0,4,0,2026-01-13,0:35,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00055,Jhikargacha 10-bed Hospital,Fully Government-owned,Khulna,Jashore,Jhikargacha,22.88762,89.80339,10-bed Hospital,Primary,10,4,0,0,0,2026-01-13,0:40,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00056,Rangpur Maternal & Child Welfare Centre (MCWC),Fully Government-owned,Rangpur,Rangpur,Rangpur Sadar,25.59872,89.64834,Maternal & Child Welfare Centre (MCWC),Secondary,39,32,0,8,1,2026-01-13,0:45,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00057,Mymensingh Maternal & Child Welfare Centre (MCWC),Fully Government-owned,Mymensingh,Mymensingh,Trishal,25.34504,91.08057,Maternal & Child Welfare Centre (MCWC),Secondary,45,10,1,2,1,2026-01-13,0:50,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00058,Dinajpur Specialized Hospital,Fully Government-owned,Rangpur,Dinajpur,Dinajpur Sadar,25.59558,89.43766,Specialized Hospital,Tertiary,330,0,22,0,1,2026-01-13,0:55,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00059,Mymensingh Specialized Hospital,Fully Government-owned,Mymensingh,Mymensingh,Trishal,24.55794,90.46943,Specialized Hospital,Tertiary,139,6,14,1,1,2026-01-13,1:00,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00060,Kotwali 50-bed Hospital,Fully Government-owned,Chattogram,Chattogram,Kotwali,22.71284,91.46423,50-bed Hospital,Secondary,50,12,1,3,1,2026-01-13,1:05,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00061,Dinajpur Specialized Hospital,Fully Government-owned,Rangpur,Dinajpur,Parbatipur,26.53263,89.18948,Specialized Hospital,Tertiary,312,28,17,7,1,2026-01-13,1:10,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00062,Tangail Medical College Hospital,Fully Government-owned,Dhaka,Tangail,Ghatail,23.79499,90.62415,Medical College Hospital,Tertiary,1000,4,71,0,1,2026-01-13,1:15,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00063,Badarganj 50-bed Hospital,Fully Government-owned,Rangpur,Rangpur,Badarganj,25.24644,89.13613,50-bed Hospital,Secondary,50,6,1,1,1,2026-01-13,1:20,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00064,Badarganj Upazila Health Complex,Fully Government-owned,Rangpur,Rangpur,Badarganj,26.65109,89.39189,Upazila Health Complex,Primary,100,5,0,0,1,2026-01-13,1:25,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
FR00065,Badarganj Upazila Health Complex,Fully Government-owned,Rangpur,Rangpur,Badarganj,25.72376,89.2547,Upazila Health Complex,Primary,31,30,0,8,0,2026-01-13,1:30,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00066,Patuakhali District Hospital,Fully Government-owned,Barishal,Patuakhali,Kalapara,22.50125,90.69994,District/General Hospital,Secondary,300,57,0,0,1,2026-01-13,1:35,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00067,Sylhet District Hospital,Fully Government-owned,Sylhet,Sylhet,Golapganj,25.25969,91.73955,District/General Hospital,Secondary,100,22,2,0,1,2026-01-13,1:40,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00068,Tongi Upazila Health Complex,Fully Government-owned,Dhaka,Gazipur,Tongi,23.88199,90.15258,Upazila Health Complex,Primary,50,13,0,0,0,2026-01-13,1:45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00069,Pabna District Hospital,Fully Government-owned,Rajshahi,Pabna,Bera,23.66215,88.33595,District/General Hospital,Secondary,150,77,4,0,1,2026-01-13,1:50,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00070,Kalapara 50-bed Hospital,Fully Government-owned,Barishal,Patuakhali,Kalapara,22.87974,90.17,50-bed Hospital,Secondary,50,23,1,0,1,2026-01-13,1:55,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00071,Barishal Medical College Hospital,Fully Government-owned,Barishal,Barishal,Bakerganj,22.65998,90.04827,Medical College Hospital,Tertiary,1000,348,87,10,1,2026-01-13,2:00,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00072,Sylhet Specialized Hospital,Fully Government-owned,Sylhet,Sylhet,Beanibazar,24.78975,92.2241,Specialized Hospital,Tertiary,154,12,12,0,1,2026-01-13,2:05,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00073,Trishal Upazila Health Complex,Fully Government-owned,Mymensingh,Mymensingh,Trishal,25.0155,90.7775,Upazila Health Complex,Primary,100,33,0,0,0,2026-01-01,9:30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00074,Jamalpur Trauma Center,Fully Government-owned,Mymensingh,Jamalpur,Sarishabari,24.57005,91.12808,Trauma Center,Tertiary,118,30,9,1,1,2026-01-12,9:45,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00075,Patuakhali Specialized Hospital,Fully Government-owned,Barishal,Patuakhali,Patuakhali Sadar,22.29269,90.02009,Specialized Hospital,Tertiary,391,201,36,12,1,2026-01-12,10:00,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00076,Beanibazar 50-bed Hospital,Fully Government-owned,Sylhet,Sylhet,Beanibazar,24.77227,92.21622,50-bed Hospital,Secondary,50,8,1,0,1,2026-01-12,10:05,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00077,Bakerganj 50-bed Hospital,Fully Government-owned,Barishal,Barishal,Bakerganj,22.32836,90.38862,50-bed Hospital,Secondary,50,16,0,0,1,2026-01-12,10:15,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00078,Jashore Specialized Hospital,Fully Government-owned,Khulna,Jashore,Chaugachha,22.29305,89.19944,Specialized Hospital,Tertiary,329,119,35,5,1,2026-01-12,10:20,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00079,Jashore Trauma Center,Fully Government-owned,Khulna,Jashore,Chaugachha,22.73092,89.38295,Trauma Center,Tertiary,144,45,12,2,1,2026-01-12,10:25,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00080,Moulvibazar Specialized Hospital,Fully Government-owned,Sylhet,Moulvibazar,Kamalganj,24.68443,92.1049,Specialized Hospital,Tertiary,238,120,17,7,1,2026-01-12,10:30,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00081,Sylhet Maternal & Child Welfare Centre (MCWC),Fully Government-owned,Sylhet,Sylhet,Golapganj,25.09088,91.79355,Maternal & Child Welfare Centre (MCWC),Secondary,21,6,0,0,1,2026-01-12,10:35,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00082,Barishal Sadar 30-bed Hospital,Fully Government-owned,Barishal,Barishal,Barishal Sadar,22.19295,90.49561,30-bed Hospital,Secondary,30,12,0,0,1,2026-01-12,10:40,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00083,Bogura Medical College Hospital,Fully Government-owned,Rajshahi,Bogura,Bogura Sadar,23.68942,89.51585,Medical College Hospital,Tertiary,1000,625,99,19,1,2026-01-12,10:45,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00084,Mymensingh Trauma Center,Fully Government-owned,Mymensingh,Mymensingh,Mymensingh Sadar,24.78452,90.3028,Trauma Center,Tertiary,122,56,10,0,1,2026-01-12,10:50,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00085,Narayanganj District Hospital,Fully Government-owned,Dhaka,Narayanganj,Sonargaon,23.63704,90.44061,District/General Hospital,Secondary,100,35,1,0,1,2026-01-12,10:55,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00086,Gazipur Trauma Center,Fully Government-owned,Dhaka,Gazipur,Tongi,23.7241,90.39065,Trauma Center,Tertiary,127,42,7,0,1,2026-01-12,11:00,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00087,Mithapukur 10-bed Hospital,Fully Government-owned,Rangpur,Rangpur,Mithapukur,25.67577,89.38853,10-bed Hospital,Primary,10,0,0,0,0,2026-01-01,11:05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00088,Mirpur 50-bed Hospital,Fully Government-owned,Dhaka,Dhaka,Mirpur,23.67853,90.12167,50-bed Hospital,Secondary,50,13,1,0,1,2026-01-12,11:10,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00089,Panchlaish 10-bed Hospital,Fully Government-owned,Chattogram,Chattogram,Panchlaish,22.23983,91.43264,10-bed Hospital,Primary,10,0,0,0,0,2026-01-12,11:15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00090,Phulpur 50-bed Hospital,Fully Government-owned,Mymensingh,Mymensingh,Phulpur,24.98756,90.8273,50-bed Hospital,Secondary,50,6,1,0,1,2026-01-12,11:20,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00091,Jashore Maternal & Child Welfare Centre (MCWC),Fully Government-owned,Khulna,Jashore,Jashore Sadar,23.10841,89.74397,Maternal & Child Welfare Centre (MCWC),Secondary,24,5,0,0,1,2026-01-12,11:25,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00092,Kotwali 30-bed Hospital,Fully Government-owned,Chattogram,Chattogram,Kotwali,22.2374,91.70409,30-bed Hospital,Secondary,31,12,0,0,1,2026-01-12,11:30,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00093,Dinajpur Maternal & Child Welfare Centre (MCWC),Fully Government-owned,Rangpur,Dinajpur,Parbatipur,26.15686,89.68942,Maternal & Child Welfare Centre (MCWC),Secondary,41,11,1,0,1,2026-01-12,11:30,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00094,Moulvibazar District Hospital,Fully Government-owned,Sylhet,Moulvibazar,Moulvibazar Sadar,25.16877,92.00264,District/General Hospital,Secondary,150,23,4,0,1,2026-01-12,21:55,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00095,Narayanganj Medical College Hospital,Fully Government-owned,Dhaka,Narayanganj,Araihazar,23.92576,90.64125,Medical College Hospital,Tertiary,750,156,62,9,1,2026-01-12,22:00,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00096,Pabna Specialized Hospital,Fully Government-owned,Rajshahi,Pabna,Ishwardi,24.11252,88.74948,Specialized Hospital,Tertiary,146,26,12,5,1,2026-01-12,22:05,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00097,Hathazari 10-bed Hospital,Fully Government-owned,Chattogram,Chattogram,Hathazari,23.19039,92.21357,10-bed Hospital,Primary,10,1,0,0,0,2026-01-12,22:10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00098,Moulvibazar District Hospital,Fully Government-owned,Sylhet,Moulvibazar,Sreemangal,25.15994,91.60081,District/General Hospital,Secondary,300,89,8,0,1,2026-01-12,22:15,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00099,Jamalpur Sadar 50-bed Hospital,Fully Government-owned,Mymensingh,Jamalpur,Jamalpur Sadar,24.84834,90.58625,50-bed Hospital,Secondary,50,14,1,0,1,2026-01-12,22:20,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00100,Gazipur Maternal & Child Welfare Centre (MCWC),Fully Government-owned,Dhaka,Gazipur,Kaliakair,23.81906,90.48878,Maternal & Child Welfare Centre (MCWC),Secondary,18,3,1,0,1,2026-01-10,22:25,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00101,Kotwali Upazila Health Complex,Fully Government-owned,Chattogram,Chattogram,Kotwali,22.4045,91.49321,Upazila Health Complex,Primary,50,8,0,0,0,2026-01-12,22:30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00102,Phulpur Upazila Health Complex,Fully Government-owned,Mymensingh,Mymensingh,Phulpur,24.62105,90.87595,Upazila Health Complex,Primary,50,12,0,0,0,2026-01-12,22:35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00103,Mymensingh Maternal & Child Welfare Centre (MCWC),Fully Government-owned,Mymensingh,Mymensingh,Trishal,25.31406,90.65907,Maternal & Child Welfare Centre (MCWC),Secondary,19,13,0,0,1,2026-01-12,22:40,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00104,Paba 10-bed Hospital,Fully Government-owned,Rajshahi,Rajshahi,Paba,24.26161,89.44877,10-bed Hospital,Primary,10,0,0,0,0,2026-01-12,22:45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00105,Mymensingh Maternal & Child Welfare Centre (MCWC),Fully Government-owned,Mymensingh,Mymensingh,Trishal,24.90711,90.69777,Maternal & Child Welfare Centre (MCWC),Secondary,40,17,0,0,1,2026-01-12,22:50,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
